Query,True EC,Predicted EC,Exact Match,First Number Match,First Number
Q9D975,['1.8.98.2'],No EC number found,False,False,No EC number found
O66651,['6.1.1.5'],No EC number found,False,False,No EC number found
Q0U8V9,['3.6.4.13'],No EC number found,False,False,No EC number found
Q978Z5,['6.1.1.16'],No EC number found,False,False,No EC number found
Q9HKR6,['2.7.1.39'],No EC number found,False,False,No EC number found
Q9KGF4,['6.1.1.16'],No EC number found,False,False,No EC number found
Q6ZEM6,['1.20.4.1'],No EC number found,False,False,No EC number found
Q8KF56,['2.4.2.-'],No EC number found,False,False,No EC number found
P58761,['4.2.3.3'],No EC number found,False,False,No EC number found
Q7NAQ4,['5.3.1.1'],No EC number found,False,False,No EC number found
P80877,['2.1.1.14'],No EC number found,False,False,No EC number found
Q9WY05,['2.4.99.-'],No EC number found,False,False,No EC number found
Q7VRB5,['3.6.1.54'],No EC number found,False,False,No EC number found
P0AD71,['3.4.-.-'],No EC number found,False,False,No EC number found
P58416,['4.1.1.79'],No EC number found,False,False,No EC number found
Q28FE8,['3.5.4.34'],No EC number found,False,False,No EC number found
A0R2V7,['2.1.2.1'],No EC number found,False,False,No EC number found
Q8BMZ5,['4.6.1.16'],No EC number found,False,False,No EC number found
Q6CGE1,['3.1.1.89'],No EC number found,False,False,No EC number found
P67534,['5.3.2.-'],No EC number found,False,False,No EC number found
P74935,['1.2.1.41'],No EC number found,False,False,No EC number found
Q8NQC3,['3.6.1.27'],No EC number found,False,False,No EC number found
O74529,['2.1.1.-'],No EC number found,False,False,No EC number found
A4J568,['5.1.1.7'],No EC number found,False,False,No EC number found
Q7NDA8,['2.8.1.6'],No EC number found,False,False,No EC number found
Q8EX97,['5.1.1.1'],No EC number found,False,False,No EC number found
Q5PXQ6,['1.13.11.37'],No EC number found,False,False,No EC number found
Q9JXW2,['2.1.1.-'],No EC number found,False,False,No EC number found
Q58260,['2.1.1.86'],7.2.1.4,False,False,7
O74549,['6.3.2.-'],No EC number found,False,False,No EC number found
A1C3L9,['2.4.1.-'],No EC number found,False,False,No EC number found
Q9NWF9,['2.3.2.27'],No EC number found,False,False,No EC number found
